age,birthDayOfMonth,birthMonth,birthYear,bustSize,class,cupSize,height,hipSize,name,waistSize,weight,voiceBy
30,20,9,1989,82.0,class FemaleRealTalent,C,163.0,88.0,千代田唯,58.0,45.0,
34,13,9,1985,82.0,class FemaleRealTalent,B,168.0,86.0,鈴木えみ,58.0,43.0,
26,20,2,1993,86.0,class FemaleRealTalent,F,173.0,89.0,上福ゆき,61.0,51.0,
51,26,5,1968,92.0,class FemaleRealTalent,E,168.0,89.0,田島都,60.0,51.0,
29,4,4,1990,80.0,class FemaleRealTalent,C,160.0,83.0,三原勇希,58.0,46.0,
29,1,12,1990,83.0,class FemaleRealTalent,D,152.0,83.0,椎名歩美,60.0,43.0,
34,6,11,1985,78.0,class FemaleRealTalent,A,167.5,87.0,日高薫,59.0,48.0,
31,11,11,1988,82.0,class FemaleRealTalent,A,169.0,88.0,谷ちあき,58.0,45.0,
24,20,5,1995,83.0,class FemaleRealTalent,D,162.0,87.0,茜音,60.0,52.0,
38,2,11,1981,82.0,class FemaleRealTalent,B,170.0,85.0,堀まゆみ,58.0,46.0,
33,10,10,1986,88.0,class FemaleRealTalent,F,160.0,86.0,秋山優,60.0,47.0,
43,17,2,1976,95.0,class FemaleRealTalent,H,164.0,88.0,大原がおり,58.0,47.0,
41,6,11,1978,83.0,class FemaleRealTalent,D,164.0,86.0,小田茜,60.0,52.0,
42,26,1,1978,80.0,class FemaleRealTalent,D,158.0,83.0,来栖あつこ,55.0,40.0,
27,18,4,1992,83.0,class FemaleRealTalent,C,165.0,86.0,小松美咲,59.0,49.0,
34,9,9,1985,93.0,class FemaleRealTalent,H,154.0,88.0,たしろさやか,58.0,45.0,
33,17,4,1986,82.0,class FemaleRealTalent,A,175.0,87.0,中村明花,58.0,53.0,
35,4,10,1984,83.0,class FemaleRealTalent,D,164.0,90.0,八田亜矢子,60.0,47.0,
23,1,10,1996,71.0,class FemaleRealTalent,B,165.0,74.0,鈴木ゆうか,52.0,40.6,
